surrounding words	9-20103-S
table in amazement	9-0-S,27-29525-S
table in amazement 成语 saw	27-29831-S
table lamp	35-14926-B
table listing information	56-43022-S
table of contents	45-14704-B,45-19087-B,48-32097-B
table of one s master	13-57209-S
table of ranking	28-17986-B
table of the elements 元素週期表 元素周期表	62-27384-S
table salt	69-13561-B,71-4640-B
table service	35-16941-S
table tennis	3-11924-B,30-35967-S,34-5200-B
table tennis ball	3-11924-B
table tennis table	3-12092-B
table to accommodate an incense burner	69-24889-S
table to seat eight people	7-48918-S
table vinegar	69-4375-B
table ware	69-13245-B
table 成语 saw	31-25926-S,47-55409-S
tablecloth	34-5111-B
tableland	12-18468-B
tables and reports	56-43705-S
tables or forms	56-43380-S
tablespoon	39-14536-B
tablet	10-40146-S,15-37279-S,22-42085-B,27-32527-S,28-1130-S,32-11118-S,34-46477-S,36-40793-S,41-44238-B,41-45574-B,41-45657-S,41-46257-B,42-46179-S,46-15792-S,46-28071-S,46-28194-S,46-28322-S,46-28454-S,46-28644-S,46-28717-S,46-28788-S,46-28850-S,46-29521-S,67-50715-S
tablet for inscription	46-9457-S
tablet held at an audience	48-4143-B
tablet indicating rank	42-37529-S
tablet to reduce fever	38-31306-S
tablet with inscription	46-28579-S
tablet without inscription	40-49737-S,44-43400-S
tabletop	34-5247-B
tabloid newspaper	20-62305-B
taboo	8-61472-S,24-42146-S,24-42452-S,26-13788-S,26-13788-S,26-14205-B,44-55024-S,47-512-B,58-46829-S,62-57862-B,65-35089-S,71-2854-S
taboo against using the personal names of emperors or one s elders	63-7483-B
taboo curse darned	4-25180-B
taboo language	47-550-B
taboo name	58-46879-B
taboo name e g of emperor	12-58601-B
taboo reference	58-46941-B
taboo slang	6-45617-S,41-47531-S
taboo subject	66-48735-S,66-49773-S
taboo subject of sex	5-6695-S
taboo word	47-1412-B,63-7050-B
taboo word to fuck	21-20662-S
taboo word used erroneously for 肏	29-20480-B
taboos are off 成语 saw	44-55024-S
tabriz city in northwest iran	17-4379-B
tabun	16-17106-B
tabunase	16-17145-B
tac toe	3-48795-S
tacheng city in xinjiang	16-16750-S
tacheng prefecture in xinjiang	16-16815-S
tacheng village in taiwan	17-12215-S
tachia town in taiwan	17-28479-S
tachypleus tridentatus	69-42988-S
tacit approval	71-36939-B
tacit mutual understanding	24-34638-S
tacitly	24-34563-S,24-39338-S,24-40022-S,24-40189-S,71-36055-S,71-36838-S,71-36939-S
tack	17-40417-B
tack against the wind sailing	28-62680-S
tackle	10-52421-S,39-29616-S,64-19856-B
tackle a key problem	29-48135-S
tackle football move	9-25768-B
tackle hanging from a mast	12-44089-S
tackle to hold up an awning	12-44089-S
tacky	5-33368-B
tact	35-3466-B
tactful	15-22671-B,18-41449-B,18-52623-B,38-57867-S,39-7717-B,58-63037-B
tactful expression for sth unpleasant such as death	18-52662-S,18-52761-S,18-52930-S
tactful indirect questioning	18-8875-S
tactical missile	26-20228-B
tactical mixture of chemical agents	38-53635-B
tactical nuclear weapons	26-20301-B
tactics	7-45386-S,8-1794-S,26-20186-B,27-36298-S,29-58683-S,48-22039-B,50-22650-S
tactics on paper 成语 saw	49-21294-S
tactless and impulsive person	10-55471-B
tadorna ferruginea	60-7418-S,71-25342-S
tadpole	47-19397-B,55-58648-B,56-6780-B,56-6809-B
tae kwon do	60-33754-B
tae woo former south korean president	45-13599-S
taejon city in south korea	17-28386-B
taekwando korean martial art	60-33754-B
tael	7-43173-B,64-43805-S
tael 2 or 3 grams	64-31360-S
tael 兩 两	64-25499-S
taels in weight	64-55648-S
taels not hidden here 成语 saw	35-41079-S
tag	6-53469-S,12-57562-S,12-57770-S,14-23799-S,34-53821-S,34-55672-B,48-44681-B,66-15973-S
tag along	21-15685-S
tag along behind	60-37794-S
tags along	60-37876-S
tahe place in heilongjiang	16-17788-S
tahsi town in taiwan	17-26037-S
tahu village in taiwan	17-25964-S
tai	12-17762-S,37-46398-S,37-46577-S,47-42076-S,63-19398-S
tai an city prefecture level city in shandong	37-45879-B
tai an county in shandong	37-46136-B
tai an district district in shandong	37-45957-S
tai an place in liaoning	12-18568-S
tai an prefecture level city in shandong	37-46052-B
tai county in jiangsu	37-48156-B
tai in shandong	21-37010-S,37-46345-S
tai pan	17-27766-B
tai wan bay in hong kong	17-28251-B
tai 成语 saw	63-60421-S
tai 泰山 and mt hua 華山 华山	37-48351-S
tai 泰山 in shandong	3-48479-S,3-49734-S,33-18026-S
tai 泰山 in shandong as principal or ancestor of the five sacred mountains 五嶽 五岳	21-37066-S
tai4 pu2 si4	8-10394-S
taian village in taiwan	37-46206-S
taibai place in shaanxi	17-59820-S
taibei	2-74564-S
taibei or taipei	12-18095-B,12-18145-B,53-20395-B,53-20445-B
taicang city in jiangsu	17-55955-S
taichung city in central taiwan	12-17849-B
taierzhuang area in shandong	12-17918-S
taigu place in shanxi	17-60750-S
taihang mountains on the border between hebei and shanxi	17-60647-B
taihe county in ji an 吉安	37-45508-B,37-45569-B
taihe district of jinzhou city 錦州市 锦州市	17-57228-B,17-57338-B
taihe place in anhui	17-57228-S
taiho era	17-15559-B
taihsi village in taiwan	12-19806-S
taihu lake near wuxi city 無錫 无锡	17-59748-B
taiji	17-59600-S
taiji 1592 1643	44-60491-S,44-60559-S
taiji 574 621	51-46861-S
taiji 皇太極 皇太极 1592 1643	38-60100-S
taijiang place in guizhou	12-19104-S
taikang place in henan	17-59122-S
tail	13-2280-S,21-14859-B,21-14886-B,21-14982-B,24-12277-S,29-5045-S,30-68043-S,51-31941-S,55-17689-S,60-38372-S,65-13691-S,69-21791-S,69-36225-S,70-46264-S
tail applies to various plants	69-36225-S
tail assembly of plane	21-15426-S
tail behind	21-15685-S
tail between one s legs	17-71542-S
tail feathers	21-15301-B,51-17550-B
tail in chu 成语 saw	13-2280-S
tail meat	59-25601-S
tail of a comet	70-25427-B
tail of a plane etc	35-3258-S
tail of an animal	26-15854-S
tail pheasant	51-19105-S
tail unit	21-15426-B
tail wind	68-27069-S
tail wing	21-15426-B
tail 成语 saw	24-29757-S
tailai place in heilongjiang	37-45323-S
tailbone	21-15947-B
tailbone at end of spine	21-12219-B,21-12360-B
tailed bird	66-51777-S
tailed coat	41-28863-S
tailed larva	21-15577-B
tailed marmot	71-50517-S
tailed pheasant	70-58142-S
tailed turtle	3-18724-S
tailed turtle of mythology	3-18724-S
tailei 1898 1927	23-38226-S
tailor	56-53841-B,56-53893-B
tailor clothes	9-31348-S
tailor or dressmaker s measure	60-57453-S
tailor the clothes to fit the body 成语 saw	45-32464-S
tailor the suit 成语 saw	64-6912-S
tailoring	50-26859-B
tails	41-28863-B
tailwater	21-15087-B
taimali village in taiwan	17-62691-S
tainan city and county in taiwan	12-18206-B
tainan city in taiwan	12-18274-B
tainan county in taiwan	12-18342-B
taining place in fujian	37-46281-S
taint	36-63480-B
tainted food	69-9600-B
taipao city in taiwan	17-55802-S
taipei	12-18095-S,12-18145-S,32-53298-S,53-20395-S,53-20445-S
taipei university of technology	15-12109-S
taiping district of fuxin city 阜新市 阜新市	17-58069-B
taiping era	17-58358-S
taiping era 978	17-58258-S
taiping heavenly kingdom 1851 1864	17-58164-B
taipusi banner place in inner mongolia	17-56084-S
taiqian place in henan	12-18009-S
taishan	19-26336-S,42-31356-S
taishan city in guangdong	12-18631-S
taishan village in taiwan	37-46498-S
taishan 成语 saw	2-30888-S
taishang huang	17-55739-B
taishi village in guangdong province	17-59944-B
taishun place in zhejiang	37-48918-S
taishō period	17-23361-B
taitung city in taiwan	12-19041-S
taitō 久保帶人 久保带人	35-58882-S
taiwan	1-27332-S,1-28364-S,1-28539-S,1-33218-S,1-34306-S,1-35409-S,1-36575-S,1-36646-S,1-37871-S,1-39746-S,1-40182-S,1-41295-S,1-61596-S,2-51415-S,2-52259-S,2-65265-S,2-65474-S,2-67471-S,2-69065-S,2-69684-S,2-74485-S,2-79425-S,3-18053-S,3-35485-S,3-36465-S,3-39015-S,3-41441-S,3-49657-S,3-52913-S,3-53234-S,4-20724-S,4-20852-S,4-20921-S,4-21241-S,4-61445-S,5-10993-S,5-11659-S,5-18819-S,5-46143-S,5-46212-S,6-63425-S,7-9226-S,7-27494-S,7-29689-S,7-33012-S,7-39804-S,7-51339-S,7-53320-S,7-66067-S,7-68434-S,7-68994-S,7-70012-S,8-16181-S,8-21503-S,8-43530-S,9-25693-S,9-25941-S,10-29063-S,10-29771-S,10-30634-S,10-31635-S,10-31918-S,10-34183-S,10-34784-S,10-36240-S,10-61988-S,10-63352-S,10-63493-S,10-67430-S,10-67906-S,10-69960-S,10-70768-S,10-71749-S,11-1063-S,11-1759-S,11-2316-S,11-3038-S,11-38388-S,11-66156-S,11-68604-S,12-1389-S,12-17849-S,12-18206-S,12-18274-S,12-18342-S,12-18515-S,12-19041-S,12-19171-B,12-19806-S,12-39762-S,12-47295-S,12-59343-S,12-59867-S,13-22741-S,13-24858-S,13-41780-S,13-41922-S,14-3151-S,14-28563-S,14-48667-S,14-51768-S,14-52727-S,15-3974-S,15-30166-S,15-30968-S,15-53842-S,15-63467-S,15-63543-S,15-63612-S,15-64309-S,16-19808-S,16-36164-S,16-36999-S,16-39338-S,16-46547-S,17-6402-S,17-9112-S,17-9373-S,17-11039-S,17-12215-S,17-12428-S,17-12501-S,17-14587-S,17-14919-S,17-15482-S,17-21995-S,17-22369-S,17-23191-S,17-23504-S,17-25964-S,17-26037-S,17-28479-S,17-29496-S,17-31821-S,17-37204-S,17-39606-S,17-55802-S,17-62691-S,19-18855-S,19-24812-S,19-26761-S,19-27541-S,19-29999-S,19-42232-S,19-50244-S,19-50318-S,20-8434-S,20-29429-S,20-37348-S,20-55050-S,20-66787-S,21-6173-S,21-21320-S,21-28486-S,21-35279-S,21-39550-S,21-40958-S,21-44428-S,21-59134-S,21-59578-S,22-4800-S,22-17507-S,22-26421-S,22-43346-S,22-45747-S,23-17225-S,23-52055-S,23-58085-S,23-67837-S,24-3341-S,24-15741-S,24-67390-S,26-8643-S,26-46649-S,30-27664-S,30-33745-S,30-33806-S,30-44798-S,30-45602-S,30-45871-S,30-46033-S,30-46105-S,30-47354-S,30-47735-S,30-48340-S,30-51421-S,30-51960-S,30-53124-S,30-53272-S,30-55467-S,30-55786-S,30-56658-S,31-2891-S,31-3245-S,31-33624-S,31-59969-S,32-46013-S,32-70106-S,33-377-S,33-15321-S,33-15401-S,33-17898-S,33-18468-S,33-20322-S,33-21009-S,33-22215-S,33-27775-S,33-30422-S,33-31958-S,33-32039-S,33-33088-S,33-33451-S,33-33655-S,33-35217-S,33-50375-S,34-2697-S,34-3270-S,34-10502-S,34-13134-S,34-15656-S,34-28250-S,34-31673-S,34-31743-S,35-1224-S,35-4500-S,35-7740-S,35-53350-S,36-23915-S,36-37987-S,36-41834-S,36-47188-S,36-49406-S,36-50196-S,36-51099-S,36-53161-S,36-55485-S,36-57755-S,36-61899-S,37-17926-S,37-42139-S,37-46206-S,37-46498-S,37-47429-S,38-23206-S,38-43644-S,38-49288-S,38-62366-S,39-6384-S,39-10387-S,39-11088-S,39-11633-S,39-19095-S,39-19171-S,39-19288-S,39-38042-S,39-62489-S,39-63083-S,40-33681-S,40-34639-S,40-35154-S,40-36427-S,40-42146-S,41-29004-S,41-50891-S,42-15985-S,42-16311-S,42-29402-S,42-32275-S,42-43336-S,42-57502-S,42-62320-S,42-62442-S,43-848-S,43-37043-S,43-37226-S,43-37307-S,43-39317-S,43-57905-S,44-41343-S,44-41607-S,46-6093-S,46-9377-S,46-10578-S,46-42527-S,46-50587-S,46-56930-S,47-5822-S,47-11462-S,47-11540-S,47-28822-S,47-61606-S,48-1959-S,48-2020-S,48-2158-S,48-2338-S,48-2485-S,48-2735-S,48-2869-S,48-38562-S,49-19852-S,50-3904-S,50-17553-S,50-59474-S,51-120-S,51-7912-S,51-14079-S,52-43866-S,53-20663-B,53-49602-S,53-53409-S,53-55085-S,53-60443-S,53-62198-S,53-64153-S,53-64319-S,53-64778-S,54-6213-S,54-7150-S,54-14360-S,54-22517-S,54-27808-S,54-42981-S,54-44779-S,54-45698-S,54-47550-S,54-48108-S,55-36523-S,55-36818-S,55-40135-S,55-47254-S,56-33428-S,57-7323-S,57-13534-S,57-16341-S,57-16672-S,57-19706-S,57-19989-S,57-22348-S,57-43820-S,57-59151-S,59-19825-S,59-21167-S,59-34557-S,60-16486-S,60-43468-S,60-58693-S,62-15782-S,62-18617-S,62-52614-S,63-54948-S,64-8658-S,64-9191-S,64-9951-S,64-10031-S,64-12048-S,64-12307-S,64-30805-S,64-42527-S,65-16991-S,65-17329-S,65-54717-S,65-54927-S,65-57148-S,66-11901-S,66-13250-S,66-60185-S,66-67247-S,67-45590-S,67-45665-S,68-36175-S,68-36841-S,68-37192-S,69-25391-S,69-33685-S,70-16622-S,70-23557-S,70-37271-S,70-49676-S,70-52144-S,70-52381-S,70-58321-S,71-6777-S,71-6852-S,71-6990-S,71-8310-S,71-8501-S,71-8577-S,71-8781-S,71-10755-S,71-11989-S,71-13118-S,71-15704-S,71-48176-S,71-57616-S,71-59106-S,71-60737-S,71-63625-S
taiwan abbr 	12-17762-B,53-20207-B
taiwan affairs office	15-2944-B
taiwan after the event	62-45229-B
taiwan and fujian	35-25575-S
taiwan and hong kong usage	7-39069-S
taiwan and mainland	7-44313-B
taiwan and okinawa administered by japan	64-19918-S
taiwan before the founding of prc in 1949	11-38388-S,11-38513-S
taiwan democratic self government league	12-19272-B
taiwan dollar	12-18949-S
taiwan dollar ntd	30-45140-S
taiwan foreign minister	47-63771-S,52-21106-S
taiwan from japanese rule in 1945	7-8962-S
taiwan in 2003	62-11110-S
taiwan in 3rd century ad	17-68782-S
taiwan independence movement	53-20703-B
taiwan international rti	2-66531-S
taiwan investment	12-19982-B
taiwan media	41-34232-S,53-20506-B
taiwan minister of the interior	33-35121-S
taiwan national day on oct 10	15-8886-B
taiwan performing artist	44-36770-S
taiwan policy	1-1062-S
taiwan pr bin1	35-14981-B
taiwan pr bo2	33-40804-B
taiwan pr bo2 shu4	33-41482-B
taiwan pr bo4	29-15119-B
taiwan pr chu2	6-58847-B
taiwan pr die2	60-33968-B
taiwan pr dun4	14-38975-B
taiwan pr duo4	13-20762-B
taiwan pr fa3	70-24770-B
taiwan pr fan2	22-19391-B
taiwan pr gu1	69-65066-B
taiwan pr gua1	56-9335-B
taiwan pr he2	57-7130-B
taiwan pr huan3	38-9178-B
taiwan pr ji1	60-38639-B
taiwan pr ji2	29-19002-B
taiwan pr jiu4	47-44202-B
taiwan pr ju1	54-38398-B
taiwan pr ju2	68-8021-B
taiwan pr ka4	70-3953-B
taiwan pr le4	52-7289-B
taiwan pr lian4	30-24726-B
taiwan pr nüe4	58-53108-B
taiwan pr pang2	6-26115-B
taiwan pr po3	68-33173-S
taiwan pr qi4	4-46203-B,50-17906-B
taiwan pr sao1	53-39361-B
taiwan pr shi4	58-61784-B
taiwan pr shu2	11-56637-B,38-41347-B
taiwan pr shu4	32-2161-B
taiwan pr tu2	47-52686-B
taiwan pr wan4	42-37776-S
taiwan pr wei2	11-21925-B,24-17735-B
taiwan pr wei4	6-23923-B
taiwan pr wen4	49-14386-B
taiwan pr wu2	21-62621-B
taiwan pr xi2	25-4700-B,25-16913-B
taiwan pr xi4	36-55421-B
taiwan pr xiao4	63-43926-B
taiwan pr xie3	56-23774-S
taiwan pr xue4	47-43946-B
taiwan pr xun2	69-45442-B
taiwan pr ya3	3-57582-B
taiwan pr yai2	21-44153-B
taiwan pr ye2	34-26255-B
taiwan pr zhan4	31-64712-B,68-49625-B
taiwan pr zhi2	29-28694-B,59-59704-B
taiwan pr zhuo2	27-39620-B
taiwan pr zun4	70-47638-B
taiwan relations act of 1975	12-19555-B
taiwan slang	27-46542-S
taiwan spy	12-19938-B,53-20822-B
taiwan strait	12-19413-B
taiwan strait exchange foundation sef	38-18302-B
taiwan straits arats	38-18430-S
taiwan translation	62-55231-S
taiwan university of science and technology	15-12245-S
taiwan usage	48-164-S,64-42458-S
taiwan usage child in need of help orphaned	24-32135-B
taiwanese	20-39445-S
taiwanese airline	65-15734-S
taiwanese businessman	12-18411-B
taiwanese chinese language	12-19482-B
taiwanese people	12-19211-B
taiwanese politics	32-62129-S
taiwanese singer	42-33437-S,55-11766-S
taiwanese starting pitcher for the new york yankees in major league baseball	42-34914-S
taiwanese term	54-15505-S
taiwanese town	33-15735-S
taiwanese translation	62-53762-S
taiwanese variant of 個 个 classifier	3-28609-B
taiwanese writer	12-5589-S,43-8162-S
taiwu village in taiwan	37-47429-S
taixing city in jiangsu	37-48287-S
taiyan 1869 1936	47-63700-S
taiyan 章太炎 1869 1936	47-63855-S
taizhou district in zhejiang	12-18773-S
taizhou prefecture level city in jiangsu	37-46655-B,37-46730-B
taizhou prefecture level city in zhejiang	12-18697-B,12-18862-B
taizong reigned 626 649	13-50939-S
taizu of song	19-35243-S
taizu 宋太祖 holds a banquet in 961 and persuades his senior army commanders to go home to their provinces	33-13968-S
taizu 明太祖	37-61183-S
taj mahal mausoleum in india	37-45804-B
tajen village in taiwan	62-52614-S
tajik nationality	16-16418-B
tajik people race	16-16630-S
tajik person	16-16490-B
tajikistan	16-16418-B,16-16557-B,22-23513-S,33-8838-S
tak airport	13-64859-S
take	1-66512-S,3-70505-S,11-57709-S,12-64686-S,24-41621-S,26-65850-S,27-30627-B,27-54700-S,27-64016-B,28-24935-S,28-64125-S,28-64233-S,28-64737-S,29-13194-S,29-47283-S,52-26957-S,67-11922-S
take a backward step	65-30075-S
take a beating	27-68149-B
take a breather	14-6409-S
take a bus	15-50513-S
take a concubine	49-16044-S
take a deer and call it a horse 成语 saw	27-61283-S
take a drubbing	27-68293-S
take a first step	63-8756-S
take a hammering	27-68576-S
take a hotel room	65-35302-S
take a leading position	8-38872-S
take a leading role	47-35354-S
take a letter	28-3037-S
take a loan	6-1499-S
take a look at	45-39304-S,45-58118-B
take a lot of trouble	53-67213-S
take a meal	62-32980-B
take a name	60-16282-S
take a name of one s adoptive family	20-1404-S
take a nap	6-7661-S
take a passenger of taxi	27-31938-S
take a percentage	28-39116-S
take a photo	29-34075-S,29-34431-B
take a photograph	29-34495-S,41-8795-B
take a picture	27-29107-S,27-29950-S
take a proper measure of oneself	2-26384-S
take a seat	15-50513-S,54-49739-S
take a shortcut	26-63885-S,26-64542-S,26-64662-S,26-64839-S
take a shortcut to promotion	49-35175-S
take a shower	38-41106-S
take a sponge bath	29-26356-B
take a stand on a matter of principle	4-26114-S
take a step	63-8548-B
take a stroll	62-37645-S
take a summer vacation	38-29797-S,38-30465-S
take a taxi	26-47068-S
take a test or exam for sb	4-32955-S
take a tonic or nourishing food to build up one s health	56-60200-B
take a turn for the better	18-29800-B,61-25197-S
take a vacation	4-55377-B
take a walk	30-8880-S,62-16259-S
take a wife	18-51415-B,18-53166-S
take a wrong step in life	17-67840-S,60-49749-S
take a wrong turn	8-41336-S
take a wrong turning	8-39014-S
take action	26-31552-S
take action on	28-33967-B
take action too late	3-66287-S
take additional post	9-53466-S
take advantage	68-22231-S
take advantage of	3-12362-S,9-7503-S,21-8874-S,60-19166-B
take advantage of a crisis for personal gain	38-54113-S,39-7964-S,68-24662-S
take advantage of a fire to rob 成语 saw	60-19437-S
take advantage of a lapse	3-14163-S
take advantage of a loophole e g legal	65-10505-S
take advantage of official post for personal revenge 成语 saw	19-40931-S
take advantage of sb s misfortune	3-13768-S
take advantage of sb s precarious position	3-12489-S
take advantage of situation	60-19355-B
take advantage of the confusion to escape	60-19224-S
take advantage of the new situation 成语 saw	14-59462-S
take advantage of the situation	57-31576-S,57-31761-S
take advantage of the situation for one s own benefit	68-25473-S,68-25632-S
take advantage of weakness	3-14099-S
take adversity with a smile	43-13312-S
take along	28-2992-S,29-33679-S
take an exam	29-43304-S,51-32161-S,52-56650-S
take an indirect route	60-11253-S
take an oath to do sth	45-62887-S
take an official post	6-14800-S
take an opportunity	3-14649-S,5-63638-S
take an optional course	62-69996-S
take any job	52-26670-S
take apart	27-18654-S
take appropriate steps	20-53110-S,20-53317-S
take away	27-0-S,27-55473-S,29-10626-B
take away food	16-50860-B,45-3745-B
take away usu food	22-28864-S
take back	29-40493-S
take blood	27-17795-S
take boat	28-58671-S
take both sides in a dispute	69-52532-S
take bribes	3-646-S
take bribes and bend the law	59-39863-S
take by force	28-34456-B
take by storm	23-44141-S
take captive	29-18042-B,55-54645-B
take care	20-64039-S,43-49996-S,43-67222-S,60-11720-S,65-21023-S
take care of	5-38699-S,28-57082-S,30-35196-S,33-46754-S,41-7507-S,41-9849-S,45-37154-S,48-25144-S,55-50479-S,58-38601-B,62-43541-S
take care of everything	68-3940-S
take care of everything concerning a job	10-18620-B
take care of one s health after illness	69-11569-S
take care of oneself	5-40506-B,53-10035-S
take care of sb	27-41357-S,41-7694-S
take care of sb s health	58-40257-S
take care of things	43-49225-S
take care of things one by one	10-23835-S
take care to 	43-50814-S
take chances	8-11927-S
take charge	26-60379-S
take charge of	6-14265-B,10-13136-S,29-22506-S,45-9726-S
take command	28-19435-S
take defensive measures	65-60629-S
take down	48-16835-B
take down a confession	64-42104-S,64-42347-S
take down from the shelves e g a contaminated product	1-60459-S
take down in writing	48-15964-B
take drugs	13-3752-S,32-44104-S
take effect	30-66839-B,43-21095-S
take effect e g a slow poison	25-49293-S
take everything remaining	10-13860-S
take exception to	1-67242-S
take family along	27-61597-B
take for one s own	29-24445-S
take fresh air	49-16613-S
take good care of	13-16164-S,25-37907-B
take good care of or conserve one s health	5-41679-S
take good care of yourself	42-44002-S
take his place 成语 saw	8-10853-S
take hold	28-57917-B
take hold of	26-65079-S
take home bag from a restaurant	26-41320-B
take in	22-41826-S,29-34075-S,29-40233-S
take in and send out in large quantities	12-64813-S
take in old and new experiences and sorrows	54-12564-S
take in to a hostel	29-40661-S
take in 成语 saw	45-15306-S
take into account	68-49022-B
take into consideration	68-48720-B,68-49022-B
take into custody	27-38554-S,27-39377-B,45-9651-S
take into one s confidence	57-35580-S
take inventory of and confiscate a criminal s possessions	33-45889-B
take it all in 成语 saw	45-15431-S
take it easy	25-58672-S,39-1252-S
take it too seriously	43-66415-S,43-66574-S
take leave	13-9678-S,27-44973-S
take leave of	9-4765-B
take lessons after school or work	56-58790-B
take liberties with a woman	58-37410-S
take loving care of	68-49365-S
take matters into one s own hands	60-25771-S
take meals regularly in cafeteria	28-58887-S
take meaning from cut segment 成语 saw	30-59714-S
take measure of	26-49760-S
take measurements and calculate	39-4259-S
take medicine	12-27628-S,32-42272-B,32-43895-S
take medicine in solution	37-13329-S
take money or valuables out of storage	8-45363-S
take money out of the bank	28-40218-S
take more rigorous precautions	14-41397-S
take no account of	2-29178-S
take no action	27-62003-S
take no notice	50-52785-S
take no notice of	2-2300-B,2-18632-B
take note of	37-44382-B
take notes	5-8528-S,28-64500-S
take notice of	42-55441-B,45-57149-B
take oaths as a monk buddh 	11-61528-S
take off	11-27376-B,52-32243-S,68-62785-S,68-63529-S,69-54432-S
take off and fly into space	1-48200-S
take off and landing	60-17873-B
take off and landing aircraft	15-55205-S,15-55525-S,46-453-S
take off and landing gear	60-18095-S
take off and landing strip	60-17957-B
take off clothes	56-55743-B,57-8332-B
take off clothing	52-32312-S
take off in an airplane	60-18976-S
take off your coat honorific	20-27532-S
take offense	1-67077-S,4-23787-S,43-22119-S
take office	1-46021-B,21-9296-B,21-10494-B
take on	29-23236-B
take on a mental burden	52-17038-B
take on a new lease of life	28-54741-S
take on an employee	27-43642-S
take on everything	10-15926-B
take on i e to accept a task	26-60573-S
take one s anger out on sb who does not deserve it	62-69674-S
take one s appointed place according to the seat number	20-55444-S
take one s eyes off 成语 saw	45-15897-S
take one s seat	7-24693-S
take one s time	2-9198-B
take one s time forming the right decision	53-40808-S
take one s turn on duty	28-24729-S
take or leave 成语 saw	18-33654-S
take orders	11-61528-S,47-13937-S,51-69940-S
take out	11-57923-S
take out and show to others	8-43223-S
take out of the furnace	8-41411-S
take out relates to food bought at a restaurant	16-50977-B
take out usu food	22-28864-B
take over	5-12298-S,8-6302-S,28-27322-B
take over a job on the next shift	28-26870-S
take over a position or post	28-26328-S
take over as communal property	7-60658-S
take over by force	28-20179-S
take over for sb	28-24729-B
take over from one another	32-8368-S
take over the job	28-46705-S
take over the kitchen 成语 saw	60-25771-S
take part	11-38996-S
take part in	11-38732-B,28-43114-S,53-21932-B
take part in a race	52-56650-S
take part in a sports event	8-45634-S
take part in a trial	52-0-S
take part in an election	48-1723-S
take part in person in an expedition	57-38946-S
take part personally in an expedition	24-12606-S
take passengers on board	61-7123-S
take photos as a souvenir	43-49523-S
take pictures of a person without his knowing	6-22955-S
take pity on	25-54694-S
take pity on sb	25-10171-S
take place	44-31659-S
take pleasure from	4-2465-S
take pleasure in	42-40741-S
take poison	32-43738-S
take possession of	5-1329-S,11-12109-S
take precautions	26-13288-S,44-2538-S,65-60971-S
take precautions against	68-31003-S
take precedence	5-1625-S,7-6464-S
take radical measures	37-24511-S
take rash action	18-33163-S
take readings	28-23264-S
take reckless risks	42-38446-S
take refuge	63-7929-S
take responsibility	26-62850-S,29-22384-S,29-22752-S
take responsibility for	59-32156-S
take responsibility for it	30-6343-S
take risks	8-11927-S,38-35828-S,60-14588-S
take root	26-39293-B
take sb captive	29-18076-S
take sb for	5-5414-S
take sb s fancy	2-71903-S
take sb s place job	6-64075-S
take sb s side	56-50328-S
take sb s temperature	64-6842-S
take sb to court	20-54513-S,20-54638-S
take seriously	42-39357-S,43-67844-S,58-21168-S
take seriously often with negative expresssion one shouldn t take it too seriously	43-66415-S,43-66574-S
take shape	23-54697-S,32-37493-S
take shelter	19-32874-B,55-31791-B
take shelter from the wind	63-8183-B
take something as a personal kindness	25-40023-S
take sth as	40-31590-S,41-40600-S
take sth at face value	41-6890-S
take sth to be	5-7962-S
take sth to be clean without seeing how it is prepared 成语 saw	45-47760-S
take sth without permission	18-32686-S
take stock	20-21684-S
take strict precautions	14-43381-S
take the best	11-57830-S
take the big picture into consideration 成语 saw	68-48880-S
take the blame	4-42763-S,23-28402-B
take the credit	29-18431-S
take the credit for sb s achievement	63-8359-S
take the cup	28-6447-S
take the hindmost	41-43222-S
take the initiative	3-4103-S,8-46967-S
take the job seriously	30-19021-S
take the lead	22-29463-B,27-66550-S,42-716-S
take the lead showing initiative	42-28817-B
take the liberty	8-11086-S
take the liberty of	2-12264-B
take the long route	50-40965-S
take the long view	62-60934-S
take the middle road	27-8490-S,27-10515-S
take the opportunity while you can	31-38833-B
take the part of the devil	40-33077-S
take the place of	32-16879-S
take the pulse	27-63162-S
take the same action or view without prior consultation	2-24294-S
take the side of the evil doer	9-61525-S
take their course	51-69447-S
take their course 成语 saw	4-42308-S
take their own course	40-56204-S,68-22053-S
take things as they come	51-69447-S
take things philosophically	62-55312-S
take time	35-52639-S
take to be	43-67281-B
take to heart	58-21168-S
take to one s heels	29-6128-S
take to task	57-29882-S
take to the field oneself of emperor	57-38946-S
take to the road	21-10948-S
take troubles to heart 成语 saw	51-42788-S
take turns	5-57661-S
take turns on duty	61-15617-S
take turns responsibility	5-58405-S
take under one s wing	22-58833-B
take unfair advantage of	35-23053-B
take up a new post	8-34811-B
take up all the space	6-64518-S
take up an official post	8-34750-S
take up duty as	43-64648-S
take up in both hands	27-509-B,28-13835-B
take up or devote space	48-31965-B
take up time	53-56744-S
take way at fast food store	22-61528-S
take way fast food	16-47322-B
take whichever one fancies	4-44163-S
take with one	66-45029-S
taken	28-34105-S,39-38266-S,54-9557-S,54-9757-S,58-43304-S
taken as an example	2-32595-S
taken as authoritative	2-32595-S
taken at the wrist in traditional chinese medicine	20-31604-S,20-31707-S
taken by	4-30250-S
taken by surprise	17-8772-S
taken dissolved in boiling water of chinese herbal medicine	37-12890-S
taken for the truth	47-40710-S
taken in	11-65532-B
