sediment content	61-17816-B
sentiments	25-41974-S,33-44304-S,53-51283-S
sentinel	13-44015-B,35-42191-B
sentry	11-67353-S,13-43975-B,28-46176-S,35-42191-B
sentry duty	47-62840-S
sentry post	13-44059-S,13-44215-B,57-42413-B
seong gye 1335 1408 founder and first king of korean yi dynasty	33-2632-S
seoul	39-51313-B,69-22973-B
seoul old name for capital of south korea	39-48815-B
sepa	2-55635-S,2-55782-S
sepak takraw sport	55-33128-B
sepal	53-60342-B
separability	45-64028-S
separate	8-48969-S,8-50317-B,8-59455-S,8-59567-S,8-59631-S,9-2905-B,12-6450-B,12-6782-B,27-11590-B,27-18715-B,30-10030-S,33-32149-S,35-61483-S,40-63334-S,43-59841-S,52-34642-B,57-47102-S,58-18026-S,62-55617-S,65-46008-B,65-46410-B,65-65181-S,66-40089-S,66-41023-S,66-41111-S,67-11707-S,67-12366-S,67-12493-S
separate and live apart	8-51409-S
separate character	14-17942-B
separate edition	14-21164-B
separate flood	8-56090-S
separate government	8-55843-B
separate into different kinds	8-57223-S
separate items	27-18715-S
separate items in a list	68-32985-S
separate kitchen	12-7259-S
separate married couple	8-51836-S
separate matter	43-60089-S
separate meals	8-60129-B
separate off	8-53372-S
separate out	33-32203-S
separate rooms	8-53159-S
separate seeds from fibre	60-61170-S
separate task	8-58615-S
separate the grain from the husk	53-21265-S
separate units	8-58328-S
separate western names or words	65-47130-S
separated	45-57411-B
separated by distance or time etc	45-32271-B
separated from	31-59081-B
separated lovers	41-49228-B
separated worlds apart	17-49596-B
separated 成语 saw	70-33233-S
separately	8-50317-B,8-59803-B,12-6450-B,12-6945-S,14-19749-S,14-21164-S
separately one by one	12-28544-B
separation	3-9324-S,8-57694-S,8-57743-S,12-45712-S,52-56124-S
separation of crystalloids by osmosis	62-889-S
separation of marital relations	55-44438-S
separation of powers	1-35941-B,8-55478-B
separation 成语 saw	67-9885-S
separations	8-57078-B
separatism	8-58048-B,8-59675-B
separatist	8-59739-B
separatist group	15-57798-S
sepiaria	33-39965-S
seppuku	8-62702-S
september	3-19193-B,3-19472-B
september 1931 used by the japanese as a pretext to annex manchuria	3-17360-S,33-49592-S
septemfasciatus	1-27690-S,70-42595-S
septic	10-24553-B
septic tank	10-24404-B
septicaemia	29-66650-B
septum	71-50899-S
sepulcher	16-30647-B
sequel	36-43826-S,50-44108-B,50-44243-B,50-44401-B,50-44786-B
sequels to journey to the west 西遊記 西游记	24-1413-S,50-44618-S,57-23010-S
sequence	4-66632-S,22-33388-S,22-59460-B,22-59504-B,24-17095-S,27-67660-S,35-19985-S,35-20658-B,35-21322-B,35-52886-S,47-25648-S,47-29151-B,47-29247-B,68-23579-B,68-25152-S
sequence astron 	3-5262-S
sequence of air or sea voyages	53-34334-B
sequence of ideas	45-36126-B
sequence of movements in martial arts	18-10506-S
sequence of processes	38-5163-B
sequences	19-5684-S
sequential decoding stage	62-24792-B
sequester	20-32862-S
sequestration	3-38014-S,3-38014-S,39-20099-S,46-32902-S
ser	49-54635-S
sera monastery near lhasa	53-45110-B
serac	8-17141-B
seraphin haitian ambassador to taiwan	16-19808-S
serb	16-19965-S
serb abbr 	16-19358-B
serb nationality	16-19965-B
serbia	16-20273-B,16-20463-S,59-30287-S
serbian	16-19358-B
serbian language	16-20577-B
serbo croatian language	16-20333-B
serbs	16-19965-B
serenade	20-62357-B,26-67369-S
serendipity	6-21834-B
serene	19-31560-B,19-32724-B,22-46008-B,58-16806-B
serene and elegant	22-55512-B
serene and hidden in depth or distance	22-55244-B
serenitatis	39-65559-S
serenity	20-20394-B
serenity mare serenitatis	39-65559-S
serf	10-5413-S,51-37858-B,61-40085-B
serge	14-26163-B,14-26271-B,36-13792-B
serge from tibet	36-17604-S,36-17713-S
sergeant	28-18203-B,60-64707-B
sergeevich pushkin 1799 1837	31-48085-S
sergeevich turgenev 1818 1883	21-24046-S
sergei name	58-56854-B
sergeyevich gorbachev 1931 	26-4744-S
sergeyevich krushchev 1894 1971	60-9221-S
seri begawan capital of brunei	30-42984-S
serial in a newspaper	62-25398-S
serial killer	22-67214-S
serial number	20-55362-S,50-21214-B
serial publication	50-44401-S
serialized	62-25398-B
serialized drama	62-24468-B
serialized novels in classical chinese and jiangsu vernacular	38-15161-S
sericulture	61-41166-S
series	8-50250-S,8-65665-B,37-20045-S,49-1408-B,49-1528-S,58-46469-S,62-24468-S,62-24963-S,62-25335-S,63-50872-S,64-43325-S,65-11590-S,68-58667-S,69-1410-S
series about the terracotta army	24-14821-S
series amplifier	49-1447-B
series by kubo taitō 久保帶人 久保带人	35-58882-S
series divine boat	46-61261-S
series etc	50-44786-S
series etc episode	66-56500-S
series math 	8-15885-S
series of	1-17220-S
series of accidents	62-19501-S
series of calamities	40-26960-B
series of performance by a visiting troupe	21-51148-B
series of tricks	18-9183-S
series stats 	31-42368-S
series such as 1 2 4 8 	48-18886-S
series such as 2 4 6 8 	48-18443-S,48-24622-S
serine ser	49-54635-B
seriola qinqueradiata	70-46264-B
serious	2-8472-S,2-27835-S,5-50758-S,9-6212-B,9-60436-S,11-37024-B,14-41266-B,14-43015-B,17-4218-B,21-38558-B,35-33880-B,35-38564-B,35-38655-B,37-5496-B,37-7560-B,38-51966-S,43-67844-B,54-15286-S,58-21168-B,58-29644-S,58-33549-S,63-34522-B,63-55603-B
serious accident	19-8190-S
serious character	52-43686-S
serious concern	14-43307-B
serious consideration to sth	51-34512-S
serious crime	63-63727-B
serious criminal	63-62260-B
serious criticism	64-911-B
serious every day	60-25601-S
serious faux pas	64-539-B
serious hard work of writing	65-28766-S
serious illness	32-48-S,44-12694-B,48-33269-B,63-62845-B
serious injury	63-56070-B
serious injury to the face	71-52242-B
serious matter	63-60421-S
serious problem	14-43080-B
serious repercussion	14-43152-B
serious warning	14-41488-B
seriously	18-33654-S,25-46765-B,30-19021-S,42-39357-S,43-66415-S,43-66574-S,43-67844-S,46-19744-S,46-36928-S,58-21168-S,63-34567-B
seriously damaged in a disaster	63-62038-S
seriously hurt	63-56070-B
seriously ill	48-34072-B
seriously ill and about to die	23-51622-B
seriously often with negative expresssion one shouldn t take it too seriously	43-66415-S,43-66574-S
seriousness	14-43248-B,29-58954-S
seriousness of an illness	44-8845-S
seriousness of the case	61-12758-B
sermon	6-41853-S,57-65145-B,58-55628-S
sermon on the mount	21-28569-S
sermons	6-41969-S
serpens constellation	21-62087-B
serpent	55-59614-B,56-3609-S
serpentine	55-60025-B
serpentine geol 	55-60196-B,55-60259-B
serranidae	46-6370-S
serranidae fish family including epinephelinae or grouper 石斑魚 石斑鱼	70-42680-B
serrata	33-45148-S,33-54105-S,35-6178-S,35-16854-S
serrated	11-39296-B
serrated edges on a chinese flag	31-2381-B
serratus anterior muscle upper sides of the chest	9-25846-B
serrulata or prunus yedoensis	35-17755-S
serum	39-56141-B,56-27003-B,56-27003-S,56-60290-S
servant	3-3929-S,3-4456-S,4-56992-B,6-27830-B,6-27879-B,6-32300-B,6-50852-B,6-50881-B,6-50921-B,6-52907-B,6-55864-B,7-55048-S,18-22727-B,18-54281-S,23-6504-S,23-6587-B,23-60500-S,30-11777-S,43-34061-B,51-27185-S,60-10009-B,60-38095-S,63-31841-S
servant girl	2-48481-B,2-48554-B,2-48657-B,2-48741-B,18-54326-B
servant in former times	23-60500-S
servant or army orderly doing odd jobs	10-9715-B
serve	1-55249-S,3-30026-S,4-61839-S,5-20906-B,18-5207-S,32-42498-S,52-54077-S
serve a meal	65-44232-B
serve a prison sentence	32-42441-B
serve a ruler	32-42338-S
serve as	6-13941-S,6-65842-B,29-22506-S,40-31590-S,41-40600-S
serve as a model	4-38996-S
serve as a model 成语 saw	40-31955-S
serve as foil to one another	20-55944-S
serve as lookout	57-43899-S
serve as scape goat	16-24591-S
serve as stopgap	6-65002-S
serve as the norm	40-32865-S
serve dimsum 點心 点心 such as jiǎozi 餃子 饺子	48-44105-S
serve for another term of office	62-19570-B
serve in some capacity	29-62165-S,29-62256-S
serve in the army	32-43566-B,43-66014-S
serve on duty	15-64721-S
serve on sentry duty	47-62840-S
serve out a sentence	32-43511-B
serve qin in the morning chu in the evening 成语 saw	32-48488-B
serve sb else s	61-45062-S
serve sb right	37-65630-S
serve sb with body and soul	60-6677-S
serve the ball in pingpong	44-31533-S
serve the king diligently	10-9467-S
serve the public interest wholeheartedly	9-17453-S,18-2800-S
serve the rich and powerful by literary hack work etc	22-36210-S
serve under	53-42517-S
served as qing court painter for 50 years	63-21240-S
served at a mess hall	4-57074-S
served ball volleyball	28-27068-S
served by the goal keeper	65-23203-S
served with soy sauce	27-29025-S
server	4-45647-S,4-61898-S,15-63928-S,23-12946-S,26-41544-S,30-25739-S,62-29866-S
server architecture	19-52137-S
server computer	4-61974-B,32-42799-B
server environment	19-52306-S
serves as a model	30-27523-S
service	2-59198-S,2-72704-S,6-17166-S,6-40985-S,6-41730-S,8-1508-S,8-1868-S,9-47562-B,9-50354-S,10-8485-B,12-9850-S,12-59090-S,13-54043-S,16-37226-S,17-7702-S,21-41968-S,21-57597-S,23-60500-S,24-17694-S,24-22725-S,24-62349-S,26-17169-S,27-20471-S,27-21804-S,28-12387-S,28-28306-S,29-15369-S,29-64088-S,29-64088-S,30-30468-S,30-55137-S,32-42498-B,32-43433-S,32-43566-S,35-11962-S,35-16941-S,41-57987-S,41-57987-S,42-47826-S,42-48032-S,47-8271-S,47-28562-S,50-9493-S,51-58165-S,53-1602-S,53-36171-S,54-10720-S,57-61409-S,59-51229-S,59-57436-S,61-33295-S,61-57137-S,61-57333-S,61-57333-S,61-61494-S,62-7434-S,65-23775-S,65-34366-S,67-25349-S,67-29212-S,67-37174-S,69-13245-S
service a plane of airport workers	28-26451-S
service a vehicle	35-12601-S
service advertisement protocol	32-42858-B
service and pay me a little more	70-15112-S
service before and after the handover to prc rule in 1997	66-27907-S
service center	19-52038-S,32-42546-B
service charge	26-35150-B,32-43363-B
service chinanews	2-59285-S
service cns	2-72633-S
service ddos form of internet attack	8-49549-S
service delivery	4-65442-S,22-15274-S
service desk	32-42616-B,32-43202-B
service digital network	30-17072-S
service e g xinhua	62-13259-S
service etc	61-57267-S
service examination	32-25212-S,62-29483-S
service fault in volleyball	17-67544-B
service flight	6-17166-S
service in a canteen	65-29927-S
service in catholic church	31-15453-S,31-46936-S
service industry	24-62420-S,32-43144-B
service is required in return	61-26637-S
service meal	53-1647-S
service module astronatics	28-32660-B
service of one s country	16-9760-S
service personnel	32-42703-S
service pipe	53-1021-B
service provider	14-61191-S,32-42969-S,32-43063-B,67-25430-S
service regulation	32-43289-B
service station	8-2174-S
service to repay kindness	16-10784-S
service to the party	71-45685-S
service to the public	7-62497-B
serviceman	51-5509-S,60-63684-B
services	7-56413-B,47-28562-S,65-41699-S
services company	29-1217-S
services department	29-54775-S
services digital network	30-17210-S,49-63673-S
services of sb	23-17737-S,23-18319-S
serviette	69-13388-B
servile	1-66746-S,4-66995-B
servile and bending the knee 成语 saw	18-23465-B
servile nor overbearing	1-74252-S
servilely	10-62332-S
serving	15-35221-S
serving alternate watch	32-7324-S
serving as a store	52-62237-S
serving as copula	3-21403-S
serving as harbor	39-6263-S
serving as mark or symbol	34-55578-S
serving as partition	66-40416-S
serving as shop	64-38508-S
serving as sound value of another character	51-65821-S
serving woman	66-1010-B
servitude	7-0-S,58-58250-S
servo small electric motor	4-61898-B
serà	9-24666-S
sesame	71-14122-B
sesame biscuit	53-51916-B
sesame butter etc	27-29025-B
sesame oil	53-51806-B,69-26490-B,71-14786-B
sesame paste	53-51859-B,71-16088-B
sesame paste sauce	71-16135-B
sesame seed	44-44802-B,52-23165-B,53-51680-B,71-32821-B
seseme seed coated cake	41-27891-S
session	22-65153-S,32-24213-B,65-34299-S
session at a conference	7-37744-S
session of the central committee	2-65675-S
sessions	35-52537-S
set	1-6298-S,4-65517-S,6-62764-S,7-33826-S,7-36061-S,14-17744-S,15-0-B,19-4480-S,19-6799-S,19-43542-S,26-9381-S,26-51252-S,30-15035-S,39-9440-S,49-21870-S,50-20439-S,54-10720-S,57-32862-S,57-56976-S,58-1796-S,63-37807-S,66-57004-S,66-64998-S,67-36320-S,71-42727-S
set a box office record	9-34623-S
set a price	19-43802-S
set a record	9-37492-S
set a time limit	66-18815-B
set about	1-59913-B
set an example	22-29463-B
set an example 成语 saw	4-38996-S
set apart	38-498-S,43-48631-S,63-720-B
set aside	29-11465-S,29-28593-B,57-58471-S,65-46176-S
set aside for	43-51038-S
set at	19-45642-B
set back	21-34822-B
set boundaries	21-17406-S
set e g a jewel in a ring	65-7772-S
set e g ascii 美國資訊交換標準碼 美国资讯交换标准码 or unicode 統一碼 统一码	19-6083-S
set expr based on aesop	14-14139-S,58-33016-S
set expression astonishing to see	4-34251-B
set expression of written chinese	26-12014-S
set eyes	45-46604-S
set fire	40-44579-B
set foot in	38-35685-B
set foot on	60-46478-B
set forth	29-32491-B,60-18624-S
set free	29-52883-S,63-53161-S
set hard	70-27342-S
set in mahjong or playing cards	13-21584-S
set in motion	53-25526-S,60-16932-S,65-30663-B
set math 	65-44083-S
set meal	18-10816-B
set of all x not in set s	69-17403-S
set of chime stones suspended from a beam and struck as a xylophone	50-20522-S
set of usually four hanging scrolls	21-21385-B
set off	8-43037-S,21-10948-S,57-11964-S
set off a campaign	28-10196-S
set off an explostion	60-17366-S
set off firecrackers	29-52335-S,29-53349-S
set off firecrackers etc	41-23591-S
set off fireworks	29-48426-S
set off in hot pursuit	18-18753-S
set off one another	66-48071-S
set off something to advantage	40-40878-S
set on doing sth	46-26482-S
set on fire	29-52204-S,40-45524-B,50-29868-B,71-40652-S
set on sth	32-32561-S
set one s hand to	7-24870-S
set one s mind at rest	19-28722-S,29-51762-S
set one s mind on	58-20384-S
set oneself against	5-6480-B
set oneself up against sb	13-55399-S
set out	54-54333-S,60-16932-S,62-30194-S
set out and it becomes spring 成语 saw	54-54426-S
set out food	69-14640-B
set out of troops	65-35794-S
set out on a campaign	8-47584-S
set out on a journey	13-65525-B
set pattern	66-27294-B
set pattern mechanically	18-9390-S
set phrase	3-32094-B,8-21293-B,10-51005-S,15-38443-S,19-30831-S,42-5379-S,59-47569-B
set phrase all over the body	39-8613-B
set phrase amiable and approachable	22-41929-B
set phrase approching the great end	17-38544-B
set phrase between the lines	19-6493-B
set phrase bring all one s family	29-33755-B
set phrase carefree and contended	24-31807-B
set phrase close and numerous	20-4004-B
set phrase come early and leave late	31-13142-B
set phrase considerate	14-3980-B
set phrase continue despite repeated prohibition	21-24590-B
set phrase cudgel one s brain	53-42906-B
set phrase dazzling	41-3690-B
set phrase disturbance in the rear	24-3030-B
set phrase education only for the purpose of examination	25-61307-B
set phrase express in words not in action	28-19252-B
set phrase full of tender feelings	39-21634-B
set phrase glory	34-41899-B
set phrase high in score but low in ability	70-11920-B
set phrase ideal sweetheart	44-49225-B
set phrase in letters i	11-62063-B
set phrase in order of priority	61-13271-B
set phrase incorrigible	40-47895-B
set phrase innumerable	30-19675-B
set phrase internal disagreement or argument	6-63880-B
set phrase just as in the past	1-6407-B
set phrase not helpful but harmful	32-31696-B
set phrase only out of absolute necessity	54-42826-B
set phrase respect the old and cherish the young	20-43733-B
set phrase scene of feasting and pleasure seeking	41-25531-B
set phrase stand on one s own feet and strive to become stronger	53-5523-B
set phrase talented man and beautiful woman	43-46166-B
set phrase to be all the rage	68-59064-B
set phrase to become inspired	53-25213-B
set phrase to break up the whole into pieces	10-23835-B
set phrase to display one s remarkable skill or prowess	17-40811-B
set phrase to eliminate weariness	38-33999-B
set phrase to enjoy the spring scenery	20-45872-B
set phrase to go dining	12-26900-B
set phrase to happily gather under the same roof	35-32291-B
set phrase to have neither complaints nor regrets	40-51599-B
set phrase to keep on saying	11-67593-B
set phrase to live apart from parents after marriage	42-21025-B
set phrase to look fat by slapping one s face until it is swollen	26-48362-B
set phrase to neglect sleep and food	23-8532-B,23-8657-B
set phrase to pledge undying love	21-31808-B
set phrase to preservere	27-56332-B
set phrase to prick up one s ears	59-19237-B
set phrase to prostrate oneself on the ground in admiration	3-55815-B
set phrase to take adversity with a smile	43-13312-B
set phrase to take the same action or view without prior consultation	2-24294-B
set phrase to travel around the world	13-14392-B
set phrase to understand the meaning behind sb s words	24-40022-S
set phrase unhurried	2-10622-B
set phrase unknown to others	2-17902-B
set phrase usually of women as cold as ice	8-22818-B
set phrase usually of women slim and graceful like a swallow	60-57283-B
set phrase with complete attention	7-40386-B
set phrase young and promising	22-49859-B
set phrases	18-10376-S
set prescription i e medicine specifically prescribed for a definite condition	26-10105-B
set right	29-12424-B
set routine	66-30201-S
set s	69-17403-S
set s math 	69-17403-S
set sail	28-45030-S,46-18027-S,65-40945-S
set set theory	47-50737-S
set square	1-42130-B
set square carpenter s tool	1-24962-B,45-24223-S,45-24299-S
set square tool to measure right angles	32-4542-B,45-65178-B,57-44670-B,64-40280-S
set standard	62-54175-S
set sth against	20-53940-B
set sth in motion	28-9936-S
set store by	20-30921-B
set the helm 成语 saw	57-31761-S
set the tone	19-47769-S,19-47820-S
set theory	4-764-S,47-50737-S,66-57066-S
set to elegant music	66-55410-S
set to rights things which have been thrown into disorder	29-11584-B
set top box	35-5961-B
set ucs	62-10860-S,62-10957-S
set up	19-29284-S,19-32677-B,23-20176-S,23-21995-B,23-21995-B,26-11178-B,28-57082-S,34-61575-S,47-60137-B,49-38272-B,58-1576-S,58-1796-S,58-2200-S,58-2255-S,61-34549-S,65-42631-S,65-42767-B
set up a home	19-26916-B
set up a mourning hall	65-32354-S
set up a separate kitchen	12-7259-S
set up a stall	29-29989-S
set up a stall on the ground	29-29600-S
set up an electric circuit	62-15552-S
set up defenses	58-2648-S
set up in 1904 under cai yuanpei 蔡元培	7-9080-S,24-13889-S
set up in 1914 to compile official history of the qing dynasty	38-59677-S
set up in a particular location	58-1720-B
set up in changsha by huang2 xing1 黃興 黄兴 in 1904	54-35929-S
set up in may 1911 to confront the xinhai rebels	44-61866-S
set up stall	29-35780-S
set up the sacred tripods following yu the great	19-48857-S
set up to study a problem	24-55030-S
set your sails 成语 saw	57-31576-S
setaria viridis	54-23381-B
setback	5-58595-S,13-11913-B,14-61468-S,26-45023-S,27-69958-B,34-933-S,39-29666-B,54-50875-S,60-34032-S,63-59343-S,71-52242-S
setbacks	44-54337-S,44-54337-S
setbacks or difficulties	2-9601-S
setc	15-6652-S
seth name	60-809-B
setose asparagus	30-30212-B
sets	17-61367-S
sets off	65-34839-S
setting	16-13445-B,28-40430-S,35-40358-S,35-40424-S,58-1796-B,71-36939-S
setting a counter fire	61-45652-S
setting of the sun	8-40837-S
setting out for war	47-6667-S
setting out share offer	27-43252-S
setting sun	16-42021-S,67-18274-S
setting virtuous example confucian ideal	24-27406-S
settings	63-1505-S
settle	3-28270-S,3-28532-S,4-70096-S,18-11298-S,18-11643-S,19-27043-B,19-44749-S,19-67157-S,28-57172-S
settle a bill	49-43242-S
settle a debt	63-9554-S
settle a dispute	22-40590-B,27-17642-S,57-50925-S
settle a matter by leaving it unsettled	1-66346-B
settle accounts	3-68100-S,38-64171-S,47-14532-S,49-41163-S
settle an account	41-5106-S
settle and account	4-27857-S,63-10692-S
settle down	19-26916-B,19-32247-S,19-34558-S
settle down and get on with one s pursuit	19-32936-B
settle in china	27-15091-S
settle in china of a foreign national	5-19026-S
settle into a relationship	20-56064-S
settle liquid	39-65379-B
settle of liquid	39-65837-S
settled	3-29331-S,7-47929-S,9-7851-S,19-26602-B,19-46679-B,22-2543-S,47-41463-B,54-55608-B
settled business term	7-46650-S
settled then	1-20861-S
settled upon	32-47262-S
settlement	10-64939-S,19-44867-B,23-415-S,47-22726-B,51-55405-B
settlement fine or payment to end a legal dispute	13-25276-S
settlement in many chinese cities established under unequal treaties from 1860	47-22726-S
settlements	15-17939-S
settler	19-44815-B
settles	35-53885-S
settling accounts after the autumn harvest 成语 saw	47-14532-S
setup	20-51591-S,70-8682-B
sevastopol	16-20659-B
seven	1-26396-B,1-31359-S,3-33313-S
seven banker s anti fraud numeral	33-42586-B
seven cervical vertebrae in the neck of humans and most mammals	68-41052-S
seven days after the winter solstice	1-29671-S
seven duties of a sovereign	1-26742-S
seven festival	1-27400-S,1-27453-S
seven fifths	6-6833-S
seven floor pagoda	1-28294-B
seven heavenly bodies and four imaginary stars in astrology and fengshui	1-27924-B
seven hero states of the warring states	26-17501-B
seven layer architecture osi	1-27517-B
seven mansions of north sky	42-27749-S
seven million	1-28237-B
seven mortal forms in daoism	1-29155-B,1-44864-S
seven stringed zither	1-27782-S
seven times through the ranks of cao cao s armies	65-12079-S
seven up	1-26673-S
sevens	3-25990-S,14-46630-S,36-62511-S,40-34381-S
seventeen	10-41954-B
seventeen arch bridge in the summer palace 頤和園 颐和园	10-41999-B
seventeen million	1-3331-B
seventeenth	48-12412-B
seventeenth year g5 of the 60 year cycle	22-62651-B
seventh	1-26806-S,48-9602-B
seventh in order	22-62001-B
seventh month	1-28053-B
seventh of 10 heavenly trunks 十天干	22-62001-B
seventh year g1 of the 60 year cycle	22-62193-S
seventh year g11 of the 60 year cycle	22-62496-S
seventh year g3 of the 60 year cycle	22-62418-S
seventh year g7 of the 60 year cycle	22-62123-B
seventh year g9 of the 60 year cycle	22-62573-S
seventies age	1-28440-S
seventieth	48-9641-B
seventy	1-26871-B,51-34701-S
seventy two martyrs of the huanghuagang uprising of 23rd april 1911	71-22753-S
seventy years old	12-4603-B,22-49995-S
sever	9-34090-S,30-59996-S
several	3-57436-B,18-28128-B,22-55842-B,22-56877-B,30-19440-B,54-16082-S
several acts	16-56950-S
several billion	22-57330-B,30-20510-B
several branches of science	60-39387-S
several crops in one location	66-58762-S
several crops together	18-8316-S
several days	22-57520-B
several days running	62-22438-S
several decades	22-57388-B
several decks	34-51589-S
several different periods	71-53176-S
several different species	69-3999-S
several hours	22-56930-B,30-21882-B
several hundred	22-58168-B,30-23399-B
several instruments e g duet 二重奏 or trio 三重奏	63-57487-S
several jobs at once	8-6205-S
several kinds	22-57811-B
several meanings	16-62435-S
several medicines	57-5883-S
several methods	8-6764-S
several million	30-23448-B
several months	22-56997-B,30-22983-B
several other species	70-46132-S
several overlayed images	18-8639-S,18-9912-S
several possible meanings	35-49708-B
several reading	16-65043-S
several readings and meanings	16-64932-S
several related meanings	16-62579-S
several rivers in henan	37-55456-S
several simultaneous investments for a single sum	18-8498-S
several stories	63-58003-S
several tens of years	22-57388-B
several thousand	22-57470-B
several three kingdoms periods in korean history	1-32791-B
several times	22-57858-B
several times bigger	22-57073-B
several times in a row	62-22353-S
several times in succession	56-18272-S
several tombs of legendary emperor shun	53-31927-B
several types	12-11616-S
several us towns	18-17096-S
several uses	16-60417-S
several weeks	30-20569-B,30-24232-B
several years	18-28180-B,22-57632-B,22-57691-S,32-21361-S
severally	8-59803-B
severe	6-51275-B,9-6212-B,9-40139-B,9-40556-B,11-36985-B,14-41266-B,14-41560-B,14-41774-B,14-42510-B,14-42674-B,14-42924-B,14-43015-B,25-57133-B,53-65090-B,61-12758-S
severe acute respiratory syndrome	55-24763-B,55-24986-S
severe acute respitory syndrome	67-62980-B,67-63070-B
severe punishment	63-56320-B
severe suffering all around	25-10673-B
severe tests	45-45231-S,45-45406-S
severe winter	14-41349-B,14-41715-B
severe 成语 saw	59-9647-S
severely	44-14860-S,54-53849-B,63-58950-S,63-63783-S,64-1486-S
severely and do not reward too generously	63-63836-S
severely criticized	27-68576-S
severino world bank vice president	16-21237-S
severity	14-23332-S,61-12758-B
sevilla	16-20791-B
sew	30-24532-B,49-62876-S,50-11109-S,50-13845-B,50-26545-S,50-26859-S,50-26969-S,50-27366-S
sew and mend	50-27298-S
sew and mend clothes for a pittance	50-26784-S
sew together	50-26631-S
sew up a wound	50-26631-S
sewage	36-62941-B,70-4629-B
sewage backs up into the house because of a blockage	5-58742-S
sewage pit	39-32075-B
sewage processing	47-42329-S
sewed again from topside	27-10238-S
sewer	1-61085-B,28-17163-B,36-63160-S,39-32342-B
sewing and mending	50-27081-B
sewing machine	50-26910-B
sewing needle	50-27239-B
sex	3-67975-S,5-6695-S,11-67310-S,12-7123-S,18-20605-S,18-29386-S,18-53501-S,24-60540-B,24-60706-B,24-61293-B,24-61922-B,26-43949-S,43-61182-S,43-61268-S,48-11265-S,53-437-S,53-44137-B,53-44732-S,53-44951-S,53-45689-S,53-45741-S,53-45913-S,59-39608-S,62-30636-S,69-3732-S,69-3795-S
sex appeal	13-3367-B,24-61971-B,53-437-S
sex cell	63-37863-B
sex drive	24-63274-B
sex education	24-62290-B
sex fluids	66-24940-B
sex gland	24-63110-B
sex hormone	24-62720-B
sex hormone in bees	33-9374-S,33-9469-S
sex industry	24-62831-S
sex life	24-62775-B
sex maniac	53-45376-B,53-46084-B
sex organ	24-61644-B,43-21960-B
sex partner	24-60972-B
sex ratio	24-61371-B
sex service industry	24-62420-B
sex up	9-57093-S
sex worker	24-61784-S
sex 成语 saw	37-6297-S
sexagenary cycle	22-36774-B,53-58746-S
sexes	7-44775-S,7-44969-S,7-45054-S,24-61293-S
sexism	63-62586-B
sextans constellation	7-66240-B
sexual activity	24-63161-B
sexual behavior	24-63212-B
sexual cell	24-62977-B
sexual coloration	66-61547-B
sexual contact	24-63476-B
sexual desire	24-62036-B,53-45023-B
sexual dimorphism	7-45141-B
sexual encounter	24-62228-B
sexual harassment	24-63564-B
sexual health	24-61092-B
sexual intercourse	3-67799-B,6-15201-B,24-60744-B,56-32501-S,62-30636-S,68-47036-S
sexual intercourse between married couple	26-26175-B
sexual intercourse once	31-35878-S
sexual organ	24-61687-B
sexual orientation e g gay	24-61425-B,24-62151-B
sexual partner	24-60863-B,24-60923-B
sexual pleasure	24-62664-B
sexual preference	24-61028-B
sexual receptivity in female mammals	44-28868-S
sexual receptivity of female mammals	44-28948-S
sexual relations	24-63476-B,53-65809-S
sexual reproduction	32-33096-B
sexual secretions	38-46115-B
sexual service	24-62349-B
sexuality	24-60540-B,24-61971-B
sexually transmitted	24-61153-B
sexually transmitted disease	24-62893-B
sexually transmitted illness	53-57603-B
sexy girl	61-34163-B
seychelles	16-21056-B,16-21110-B
sfa	69-7513-S
sh	12-25972-B
sha	37-14272-S
sha county in fujian	37-17462-B
sha tau kok town in hong kong	37-17849-B
sha technique in traditional chinese medicine	9-8986-S
sha tsui on the kowloon peninsula opposite hong kong island	21-6006-S
sha wan poultry market in hong kong	65-16652-S
sha zukang	37-17407-B
sha1	69-1819-S
